date,date_start_time_et,away_team,away_pts,home_team,home_pts,box_score,OT,Notes
Thu Nov 30 2017,9:00 pm,Chicago Bulls,,Denver Nuggets,,,,
Thu Nov 30 2017,10:30 pm,Utah Jazz,,Los Angeles Clippers,,,,
Thu Nov 30 2017,10:00 pm,Milwaukee Bucks,,Portland Trail Blazers,,,,
Sat Oct 28 2017,8:00 pm,Oklahoma City Thunder,,Chicago Bulls,,,,
Sat Oct 28 2017,8:30 pm,Philadelphia 76ers,,Dallas Mavericks,,,,
Sat Oct 28 2017,10:30 pm,Detroit Pistons,,Los Angeles Clippers,,,,
Sat Oct 28 2017,8:00 pm,Houston Rockets,,Memphis Grizzlies,,,,
Sat Oct 28 2017,8:00 pm,Boston Celtics,,Miami Heat,,,,
Sat Oct 28 2017,7:00 pm,Cleveland Cavaliers,,New Orleans Pelicans,,,,
Sat Oct 28 2017,10:00 pm,Phoenix Suns,,Portland Trail Blazers,,,,
Sat Oct 28 2017,9:00 pm,Los Angeles Lakers,,Utah Jazz,,,,
Sun Oct 29 2017,3:30 pm,Milwaukee Bucks,,Atlanta Hawks,,,,
Sun Oct 29 2017,6:00 pm,Denver Nuggets,,Brooklyn Nets,,,,
Sun Oct 29 2017,6:00 pm,Orlando Magic,,Charlotte Hornets,,,,
Sun Oct 29 2017,7:00 pm,New York Knicks,,Cleveland Cavaliers,,,,
Sun Oct 29 2017,8:30 pm,Detroit Pistons,,Golden State Warriors,,,,
Sun Oct 29 2017,4:30 pm,San Antonio Spurs,,Indiana Pacers,,,,
Sun Oct 29 2017,6:00 pm,Washington Wizards,,Sacramento Kings,,,,
Mon Oct 30 2017,7:30 pm,San Antonio Spurs,,Boston Celtics,,,,
Mon Oct 30 2017,8:00 pm,Philadelphia 76ers,,Houston Rockets,,,,
Mon Oct 30 2017,10:30 pm,Golden State Warriors,,Los Angeles Clippers,,,,
Mon Oct 30 2017,8:00 pm,Charlotte Hornets,,Memphis Grizzlies,,,,
Mon Oct 30 2017,7:30 pm,Minnesota Timberwolves,,Miami Heat,,,,
Mon Oct 30 2017,8:00 pm,Orlando Magic,,New Orleans Pelicans,,,,
Mon Oct 30 2017,7:30 pm,Denver Nuggets,,New York Knicks,,,,
Mon Oct 30 2017,10:00 pm,Toronto Raptors,,Portland Trail Blazers,,,,
Mon Oct 30 2017,9:00 pm,Dallas Mavericks,,Utah Jazz,,,,
Tue Oct 31 2017,7:30 pm,Phoenix Suns,,Brooklyn Nets,,,,
Tue Oct 31 2017,7:00 pm,Sacramento Kings,,Indiana Pacers,,,,
Tue Oct 31 2017,10:30 pm,Detroit Pistons,,Los Angeles Lakers,,,,
Tue Oct 31 2017,8:00 pm,Oklahoma City Thunder,,Milwaukee Bucks,,,,
Fri Dec 1 2017,8:00 pm,Sacramento Kings,,Chicago Bulls,,,,
